"","numinves","idenpa","numentre","reg","ciudad","tamciud","comdist","age","sexo","codigo","diareal","mesreal","ini","fin","dura","totrevi","totcuot","totrech","totperd","numcasa","codsuper","supervvi","superven","codif","digit","lifesatisfaction","countryprogress","P3N","countryproblems","countryeconomicsituation","countrypast12monthseconsituation","countrynext12monthseconsituation","familynext12monthseconsituation","trustinpeople","democracypreference","democracysatisfaction","economysatisfaction","governedbyfew","trustinarmedforces","trustinpolice","trustinchurch","trustincongress","trustinnationalgovernment","trustinjudiciary","trustinpoliticalparties","trustinelectoralinst","P13ST_I","P14ST_A","trustinnatcompanies","trustintradeunions","trustintelevision","trustintlcompanies","trustinbanks","trustinradio","trustinprintedpress","trustinsocmedia","presleadershipapproval","leftrightscale","incomedistfairness","democracybest","P18STM_B","P18STM_C","P18N_D","P18N_E","P18N_F","P18N_G","P18N_H","P18ST_I","P19N","P20STM","P21ST","P22ST","P23ST_A","P23ST_B","P23ST_C","P23ST_D","P23ST_E","P23ST_F","P24ST_A","P24ST_B","P24ST_C","P24ST_D","P24ST_E","P25N_A","P25N_B","P25N_C","P26SDN_A","P26SDN_B","P26SDN_C","P26SDN_D","P26SDN_E","P26SDN_F","P27SDN","P28STIN","P29STIN_A","P29STIN_B","robotjobtake","P30INN_B","P30INN_C","P30INN_D","P30INN_E","P30INN_F","P31INN_A","P31INN_B","P31INN_C","P31INN_D","P31INN_E","P31INN_F","P31INN_1","P31INN_2","P31INN_3","P31INN_4","P31INN_5","P31INN_6","P32INN","P33N_A","P33ST_B","P33N_C","P33N_D","P34WVSNA","P34WVSNB","P35NA","P35NB","P36ST","P37CSN_A","P37CSN_B","P37STCS_C","P37WVSSTCS_D","P37STCS_E","P37CSN_F","P37WVSCS_G","P37WVSCS_H","P38CSN_A","P38CSN_B","P38CSN_C","P38CSN_D","P38CSN_E","P38CSN_F","P38CSN_G","P39N","interestinpolitics","freedompoliticalpart","P41ST_B","freedomenv","freedomprivateproperty","justfairwealthdistf","equalityofmenwomenf","chanceswuoriginf","freedomofspeech","freedomofreligion","protectionagainstcrimef","socialsecurityf","P41ST_L","freedomchancetogetjob","P42STGBS","P43STGBS_A","P43STGBS_B","talkoftenpolitics","workforcommunity","P44ST_C","P44ST_D","P45ST_A","authdemonst","nonauthdemonst","protestinsocmedia","P46N","P47ST","P48ST","publicopinionexpression","opinionplatform","P51N","P52N","P53N_A","P53N_B","P53N_C","P53N_D","protestagree","marketeconomygood","P55N","P56N_A","P56N_B","P56N_C","P56N_D","P57ST_A","P57ST_B","P57ST_C","P57ST_D","P57ST_E","P57ST_F","P57ST_G","P57ST_H","P58ST","P59ST","corruptionlast2years","P61ST","P62N_1","P62ST_2","P62ST_3","P62ST_4","P62ST_5","P62N_6","P62ST_7","P62ST_8","P62N_9","P62ST_10","P62ST_11","P62N_12","P62N_13","P62N_14","P62N_15","P62N_16","P62N_17","P63ST","religion","religiondevout","socioeconclass","S3","S4","incomeenough","S6","race","S8","S9","S10","S11","S12","S13INN_A_A","S13INN_A_B","S13INN_A_C","S13INN_A_D","S13INN_A_1","S13INN_A_2","S13INN_A_3","S14M_A","S14M_B","S14M_C","S14M_D","S14M_E","S14M_F","S14M_G","S14M_H","S14M_I","S14M_J","S15_A","S15_B","S16","S17","S18_A","S18_B","S19","S20_A","S20_B","S20_C","S20_D","S20_E","S20_F","S20_G","S20_H","S20_I","S20_J","S20_K","S21A","S21B","S22_A","S22_B","householdheademp","S24","education","REEDUC_2","REEDUC_3","reedad","perpart","fampart","wt","protest_engagement_score1","protest_attend","democracy_score","trust_score","economic_score","freedom_score","democracy_group","trust_group","economic_group","freedom_group","protest_label","socioecon_label"
"1",23,152,1,152011,152015001,7,68,67,1,44,23,2,1030,1115,45,0,0,1,0,2,1,1,1,2,0,3,3,3,26,4,4,4,4,2,3,4,4,1,3,3,2,3,3,2,2,3,2,1,3,NA,3,NA,NA,3,3,3,2,NA,3,3,2,3,2,3,3,2,3,3,2,2,2,1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,4,-5,2,2,2,3,4,2,0,0,1,0,0,0,3,-5,-5,-5,-5,-5,2,4,4,2,3,3,4,2,4,1,2,2,2,4,4,2,4,2,0,0,0,0,0,0,1,3,4,2,2,3,2,3,2,3,3,2,3,3,3,4,2,-1,-3,4,4,4,4,3,3,3,3,-1,5,2,2,1,2,1,2,2,2,2,NA,4,1,4,4,4,4,0,0,0,1,0,0,0,0,4,4,3,-1,-1,-1,96,-1,96,3,6,-1,-1,4,96,-1,-1,4,-1,2,3,3,1,2,4,4,5,2,4,4,2,1,21,9,9,0,0,0,1,4,0,-2,1,0,0,0,0,0,0,0,0,0,1,1,1,19560116,6,-3,-3,2,1,1,1,1,1,1,1,1,1,2,-3,-3,-3,-3,NA,3,3,3,-3,4,4,0,1.3989133,-0.488530058914411,0,-1.16389420566835,-0.092376206061815,-0.715856126083897,-0.247388353108103,"Low","Medium","Low","Medium","No","Lower-middle class"
"2",23,152,2,152011,152015001,7,68,26,2,44,23,2,1515,1608,53,0,0,0,0,1,0,2,0,1,0,3,2,4,20,4,3,3,2,2,1,3,3,1,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,4,2,5,4,1,4,4,1,2,4,2,2,2,2,2,2,5,3,3,3,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,1,4,2,2,1,2,2,3,1,2,4,2,3,1,0,1,1,0,0,1,3,4,-5,-5,-5,2,3,2,2,2,3,4,4,2,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,1,3,3,3,2,3,2,4,4,3,3,2,3,4,3,3,2,96,-3,3,4,4,4,3,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,3,2,2,1,0,0,0,0,0,1,1,3,3,4,2,96,96,96,96,96,4,0,96,96,0,96,96,96,4,96,4,96,4,NA,NA,3,3,2,3,2,3,1,1,17,14,17,0,1,0,0,2,0,-2,0,0,1,0,1,1,0,0,0,0,1,1,1,19960318,1,-3,2,1,2,1,1,2,2,1,1,1,1,2,-3,-3,-3,-3,NA,2,6,5,-3,2,4,0,0.8464017,0.980922361473358,1,0.528727504734727,-1.30788915416312,-0.0322001595565733,-0.621746634753151,"High","Low","Medium","Low","Yes","Middle class"
"3",23,152,3,152011,152015001,7,68,51,1,44,23,2,1738,1819,41,0,0,4,0,5,22,1,1,2,0,1,3,3,26,4,3,4,3,2,1,4,4,1,4,4,4,4,4,4,4,4,4,2,3,4,4,2,3,3,4,4,2,4,4,2,3,4,2,2,4,2,2,4,1,2,2,1,4,4,2,3,2,4,2,2,2,2,3,2,3,2,2,3,2,1,4,2,2,2,2,2,4,2,4,2,3,1,1,1,1,1,1,1,1,2,3,4,5,6,2,4,4,1,4,1,2,4,2,1,2,2,4,4,3,1,4,2,1,0,0,1,0,1,1,2,4,2,2,2,3,4,4,4,4,2,4,3,4,3,2,96,-3,3,3,4,4,2,1,1,1,1,2,1,2,3,2,2,1,1,2,1,1,3,1,1,3,2,1,1,0,0,1,1,0,0,0,2,1,3,3,96,96,96,0,0,0,0,3,96,4,2,1,10,0,3,5,2,3,1,1,3,1,3,3,4,6,1,1,51,17,13,0,0,0,1,4,0,-2,0,0,1,0,0,0,0,0,0,0,1,1,1,19710902,3,-3,8,1,1,1,1,1,1,1,1,1,1,2,-3,-3,-3,-3,NA,3,5,5,-3,3,4,0,0.6613063,0.884984251107576,1,-0.158220254782914,-1.03897814393948,-0.36047012082222,-0.7116776382435,"Medium","Low","Low","Low","Yes","Middle class"
"4",23,152,4,152011,152015001,7,68,33,2,44,24,2,1740,1833,53,0,0,3,0,4,0,2,0,2,0,2,2,2,26,4,4,3,3,2,1,3,4,1,3,2,4,4,3,2,4,2,2,1,3,3,4,3,2,2,3,2,1,3,3,2,2,3,2,2,3,3,-5,2,2,2,2,2,2,2,2,2,-1,4,3,-1,2,2,2,3,2,2,1,3,2,1,1,1,3,1,3,3,4,2,2,4,2,2,1,1,1,0,1,1,1,2,3,5,6,-5,2,3,3,1,2,3,1,4,3,1,1,1,4,4,4,1,4,2,1,1,1,1,1,1,1,3,3,3,1,2,2,3,2,2,2,1,2,3,3,3,2,-1,-3,3,3,3,4,2,2,2,2,1,1,2,2,4,2,1,2,3,2,3,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0,2,1,-1,4,4,4,4,2,0,8,0,1,4,1,96,96,96,4,96,2,3,3,12,NA,4,1,2,2,2,4,1,2,18,14,17,0,1,0,0,2,0,-2,0,0,0,0,1,0,0,0,0,0,1,1,1,19891213,2,-3,8,1,2,1,1,1,1,1,1,1,1,2,28,15,2,-3,NA,3,6,5,7,2,4,0,0.8464017,0.276767645332958,1,0.181863845630537,-0.0903090537314907,-0.167321500853832,0.238731748469805,"Medium","Medium","Medium","High","Yes","Lower-middle class"
"5",23,152,5,152011,152015001,7,68,30,1,44,24,2,1950,2030,40,0,0,1,0,2,0,2,0,2,0,2,1,2,1,3,3,3,2,1,1,2,2,2,3,2,4,3,2,2,3,3,1,1,2,3,3,2,2,2,3,2,1,3,2,2,3,3,2,2,3,3,1,2,1,2,1,4,2,2,1,2,2,3,1,2,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,3,1,3,2,3,1,1,1,1,1,1,1,1,2,3,4,5,6,2,4,3,2,3,3,2,4,2,1,1,1,4,4,4,1,4,4,1,0,1,1,1,1,0,2,3,3,2,3,3,3,2,2,2,1,3,3,3,4,2,96,-3,3,NA,4,4,2,2,1,2,1,2,2,1,3,2,1,1,2,2,2,1,2,3,2,2,1,2,0,0,0,0,0,0,0,1,2,2,3,3,5,5,3,4,1,8,-1,4,5,6,3,5,6,3,6,3,6,4,14,NA,3,1,3,2,4,6,1,1,23,17,0,0,1,0,0,2,0,-2,0,0,0,0,1,1,0,0,0,0,1,1,1,19920515,2,-3,8,1,1,1,1,1,1,1,1,1,2,2,-3,-3,-3,-3,NA,2,5,0,-3,2,4,0,0.7850539,0.75035756222691,1,-0.178976200183183,0.398946685993776,1.03937087009482,0.0474512814306797,"Low","High","High","Medium","Yes","Middle class"
"6",23,152,6,152011,152015001,7,68,51,2,44,24,2,2050,2125,35,0,0,2,0,3,1,1,2,2,0,1,3,4,16,4,5,5,4,2,2,4,4,1,1,1,4,4,4,2,4,2,4,1,3,3,2,3,4,3,3,2,2,NA,4,4,1,1,3,4,4,1,1,2,1,1,-1,1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-5,4,4,3,1,4,4,1,4,0,1,0,0,1,0,2,5,-5,-5,-5,-5,3,4,4,1,4,1,3,4,-1,1,2,2,4,4,4,1,4,2,1,0,0,1,1,0,0,2,4,NA,2,3,3,2,4,3,3,2,2,4,1,4,2,96,-3,4,2,4,4,3,3,3,3,-1,5,-1,2,5,-5,1,2,2,1,2,4,-5,3,3,4,4,4,0,0,0,1,0,0,0,1,4,1,4,4,96,96,96,-2,0,0,0,0,-2,0,96,96,96,-2,-2,-2,-2,4,1,3,4,1,2,2,4,NA,2,1,18,14,9,0,0,0,1,4,0,-2,1,0,0,0,1,1,1,0,0,0,1,1,1,19711027,1,-3,8,1,1,1,1,1,1,1,1,1,1,2,-3,-3,-3,-3,NA,3,6,3,-3,3,4,0,1.1316096,-0.773074009338552,0,-1.18135271888192,-0.160993873407389,-0.78427231006308,-0.477660143297815,"Low","Medium","Low","Low","No","Lower-middle class"
"7",23,152,7,152011,152015001,7,18,64,2,44,25,2,1510,1550,40,0,0,2,0,3,0,2,0,1,0,2,2,2,26,3,1,3,3,2,3,3,2,1,2,2,3,3,3,3,3,4,4,1,3,4,4,4,4,3,4,4,2,NA,3,2,2,2,2,3,4,4,4,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3,2,2,4,1,3,2,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,4,2,2,4,1,3,-1,-1,1,4,4,4,4,1,1,4,-5,1,0,0,1,0,0,0,4,NA,NA,-5,3,3,3,4,3,3,3,4,4,3,4,2,96,-3,4,4,4,4,3,3,3,3,-1,5,-1,1,5,-5,-5,4,4,4,4,NA,-5,-2,-5,4,4,4,0,0,0,1,1,0,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,2,-1,-1,96,-1,96,-1,-1,-1,1,3,3,1,3,2,4,6,2,1,-1,17,0,0,0,0,1,4,0,-2,1,0,0,0,1,0,0,0,0,0,1,1,1,19580606,2,-3,7,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,NA,3,5,0,-3,4,4,0,0.7288608,-0.933975136061791,0,-0.476946446150714,-0.678522428911298,0.654758810223832,-0.693016168021186,"Low","Low","High","Low","No","Middle class"
"8",23,152,8,152011,152015001,7,18,39,2,44,25,2,1700,1750,50,0,0,0,0,1,0,2,0,1,0,2,1,2,37,3,2,2,3,2,1,2,2,2,3,3,3,2,2,2,4,2,2,1,3,3,4,3,2,2,4,2,1,5,4,1,4,4,2,2,-5,2,-5,1,1,2,-1,5,2,2,2,2,-1,4,2,2,1,2,1,2,2,1,1,-1,-1,2,2,2,2,1,3,3,3,1,4,4,4,4,1,1,1,1,1,1,1,2,3,4,5,6,2,4,1,1,3,1,3,-1,-1,1,-5,2,4,4,4,2,4,1,1,1,1,1,1,1,1,2,4,2,1,3,4,4,4,3,1,1,3,3,3,2,1,96,-3,3,4,4,4,2,1,2,2,-1,1,2,2,2,1,1,1,3,3,4,2,2,4,3,2,2,1,0,0,0,1,0,0,0,1,2,1,1,1,96,96,96,4,0,7,4,96,3,1,96,96,96,4,96,4,96,3,1,3,3,1,2,2,4,4,2,1,22,15,17,1,0,0,0,1,0,-2,1,0,0,0,1,1,0,0,0,0,1,1,1,19830509,3,-3,8,1,2,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,NA,2,7,5,-3,2,4,0,0.8464017,0.343554031962862,1,0.167887458921006,0.0433775272728445,0.569871355682735,-0.221084996704245,"Medium","Medium","High","Medium","Yes","Middle class"
"9",23,152,9,152011,152015001,7,18,52,2,44,28,2,1710,1755,45,0,0,5,0,6,1,1,1,1,0,2,3,3,96,4,4,5,3,2,3,3,3,1,2,2,2,2,4,2,3,2,4,1,3,3,2,2,2,2,2,3,2,7,3,3,2,2,1,4,3,3,1,3,1,1,2,4,2,3,2,4,-1,4,1,-1,1,-1,1,1,-1,1,1,1,1,1,2,2,2,1,4,4,3,2,2,3,3,2,1,1,1,1,1,1,1,2,3,4,5,6,2,3,2,1,4,1,3,-1,-1,2,4,4,4,4,2,4,4,4,1,0,0,0,0,0,1,1,4,1,1,2,3,4,1,2,1,1,3,4,3,4,2,96,-3,4,NA,4,4,3,3,3,3,2,5,2,1,5,3,-5,4,2,2,2,4,2,5,4,2,1,1,1,0,1,1,0,1,0,1,3,1,1,1,2,96,5,2,0,0,6,6,5,6,0,96,96,2,96,4,6,2,6,2,3,1,2,2,2,3,2,2,19,13,13,1,0,0,0,1,0,-2,0,0,0,0,1,0,0,0,0,0,1,1,1,19700721,6,-3,-3,1,1,1,1,2,2,1,1,1,1,2,18,13,1,-3,3,3,5,5,5,3,4,0,0.573609,-1.10241623476178,0,-0.823810105254903,0.334149350837689,-0.807607098566286,0.334267240447274,"Low","High","Low","High","No","Middle class"
"10",23,152,10,152011,152015001,7,18,55,1,44,1,3,1620,1715,55,0,0,1,0,2,22,1,1,1,0,1,2,4,26,4,3,4,3,2,1,3,3,1,3,3,2,3,2,2,3,4,3,2,3,3,2,2,2,2,2,2,1,4,3,2,3,2,3,3,3,4,2,2,1,2,2,5,2,4,2,2,3,4,2,3,2,3,2,2,2,1,2,1,1,1,1,1,3,1,4,4,4,2,1,4,2,3,1,1,1,0,1,0,1,2,3,5,-5,-5,1,4,3,2,4,3,2,-1,-1,-1,4,3,3,2,2,4,3,4,0,0,0,0,0,0,1,2,NA,4,4,4,4,4,4,4,4,4,3,3,3,4,2,96,-3,NA,NA,-1,4,-5,NA,NA,NA,-2,4,2,1,1,1,1,1,2,2,2,NA,-5,1,4,-5,-5,-5,0,1,1,1,1,1,0,1,3,1,3,5,96,-1,-1,-1,4,4,6,-1,-1,5,-1,-1,9,96,-1,4,-1,3,1,3,3,3,1,3,2,6,2,1,19,13,1,0,0,0,1,4,0,-2,0,0,0,0,1,0,0,0,0,0,1,1,1,19670920,4,4,-3,1,2,1,1,2,2,1,2,1,2,2,-3,-3,-3,-3,NA,4,5,1,-3,3,4,0,0.6613063,2.07086366936377,1,0.181863845630537,0.32130828034607,0.138000849203017,-1.19230638325946,"Medium","High","Medium","Low","Yes","Middle class"
